Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,0.1,20.0,20.0,100.0,570.0,150.0,0.00,0.00,,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,45.1,57.2,78.9,756.6,352.5,23.0,26.0,88.7,17.3,21.2,81.3,3.96,7.66,51.7,0.05,0.04,0.01,0.56,3.45,1.32,0.20,5.69,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,65.0,75.0,86.7,1300.0,530.0,30.0,35.0,85.7,25.0,30.0,83.3,10.0,10.0,100.0,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,46.9,53.4,87.8,1049.7,361.9,10.5,11.7,89.1,27.8,29.6,93.9,8.32,11.4,73.0,0.00,0.01,-0.01,0.12,2.52,0.03,0.00,2.83,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,10.0,17.1,58.3,190.0,12.9,2.86,2.86,100.0,5.71,7.14,80.0,1.43,4.29,33.3,0.00,0.00,0.00,0.00,0.00,1.43,0.00,1.43,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,41.9,49.3,85.0,829.5,200.7,16.8,17.9,93.9,17.0,19.3,88.0,7.01,10.5,66.9,0.00,0.05,-0.05,0.82,4.08,0.48,0.27,2.86,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,40.4,48.4,83.5,785.3,198.2,16.1,18.3,87.9,17.5,19.4,90.0,6.08,8.78,69.2,0.03,0.04,-0.01,0.64,3.43,0.52,0.12,3.37,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,14.3,21.2,67.3,188.0,33.1,8.32,10.8,77.1,3.66,5.15,71.2,0.59,1.98,30.0,0.20,0.03,0.17,0.79,0.89,0.50,0.00,1.09,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,36.1,44.6,80.9,870.6,313.6,8.93,9.57,93.3,17.3,19.6,88.3,9.43,14.6,64.4,0.00,0.01,-0.01,0.21,2.14,0.14,0.00,2.21,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,41.5,50.7,81.9,888.0,312.8,13.0,15.0,86.8,20.4,22.8,89.4,7.79,11.8,65.8,0.00,0.04,-0.04,0.15,3.68,0.22,0.15,3.16,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,12.8,18.8,68.3,177.3,28.2,7.93,10.2,78.0,3.36,5.52,60.9,0.78,1.29,60.0,0.09,0.08,0.01,0.69,1.03,0.17,0.00,0.95,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,30,1990,0.7,25.7,31.4,81.8,421.4,38.6,10.0,12.9,77.8,12.9,14.3,90.0,1.43,1.43,100.0,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,38.6,45.9,84.0,782.4,127.6,15.3,17.1,89.3,16.1,19.0,84.9,6.73,8.78,76.7,0.00,0.00,0.00,0.20,2.86,0.61,0.20,3.27,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,57.6,65.0,88.6,1234.2,333.6,17.8,19.3,92.2,27.7,29.3,94.4,11.0,14.6,75.4,0.03,0.03,0.00,0.38,3.67,0.64,0.29,3.16,Matches
16,Ragnar Ache\Ragnar-Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,17.3,31.8,54.3,207.3,26.4,11.8,19.1,61.9,4.55,8.18,55.6,0.00,0.00,,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.91,Matches
17,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,55.1,68.4,80.5,1084.2,440.7,21.5,23.6,91.2,25.3,29.0,87.5,7.57,13.9,54.6,0.08,0.11,-0.03,1.27,4.25,1.39,0.69,4.71,Matches
18,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24,1996,29.6,15.0,21.4,70.0,248.6,55.2,7.67,10.2,75.2,4.83,6.22,77.7,1.72,2.47,69.9,0.17,0.20,-0.03,1.15,0.91,0.84,0.07,2.06,Matches
19,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,21,1999,20.6,57.5,66.7,86.1,949.6,260.3,28.5,31.5,90.6,23.7,26.3,90.0,4.27,6.80,62.9,0.05,0.04,0.00,0.63,4.13,0.92,0.10,4.37,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,22.6,31.5,71.9,365.7,87.9,11.3,14.7,76.9,7.92,9.62,82.4,2.26,3.77,60.0,0.57,0.32,0.25,2.26,1.13,1.51,0.19,2.64,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,48.6,55.6,87.4,1138.3,363.7,9.27,10.4,89.4,28.5,30.0,94.8,10.5,14.3,73.6,0.00,0.01,-0.01,0.15,2.07,0.15,0.03,2.23,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,17.5,25.0,70.0,247.5,2.50,7.50,7.50,100.0,7.50,10.0,75.0,0.00,5.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,50.0,60.6,82.6,1017.5,253.0,18.8,21.0,89.4,20.9,24.1,86.7,9.11,12.9,70.6,0.19,0.17,0.01,1.97,5.50,0.89,0.15,5.24,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,25.3,33.0,76.8,677.0,378.3,5.33,5.33,100.0,12.3,12.7,97.4,7.00,14.3,48.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
