Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,0.1,20.0,20.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,57.2,47.3,9.90,1.83,0.10,5.69,1.02,1.73,0.10,0.00,0.10,0.00,36.4,11.1,9.70,37.7,9.85,1.27,7.97,0.15,45.1,0.61,1.12,1.47,1.73,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,75.0,60.0,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.0,20.0,5.00,0.00,60.0,0.00,15.0,0.00,65.0,0.00,0.00,0.00,0.00,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,53.4,51.6,1.84,1.84,0.00,5.23,1.21,0.00,0.00,0.00,0.00,0.00,42.5,3.86,7.04,35.4,14.8,1.78,0.00,0.09,46.9,0.12,0.81,0.75,0.40,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,17.1,17.1,0.00,0.00,0.00,10.0,1.43,1.43,0.00,0.00,0.00,0.00,11.4,0.00,5.71,1.43,14.3,1.43,0.00,0.00,10.0,0.00,1.43,1.43,1.43,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,49.3,46.0,3.33,2.18,0.07,5.65,2.24,1.43,0.95,0.48,0.27,0.20,37.0,4.76,7.55,6.80,40.1,1.29,0.20,0.27,41.9,0.34,1.02,0.68,0.48,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,48.4,47.0,1.40,1.12,0.06,9.67,1.61,0.55,0.03,0.03,0.00,0.00,35.7,6.02,6.69,4.16,42.3,1.37,0.21,0.15,40.4,0.15,0.85,1.52,0.85,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,21.2,19.7,1.49,0.00,0.10,7.62,0.20,0.40,0.00,0.00,0.00,0.00,13.9,3.27,4.06,14.1,2.57,1.58,0.00,0.30,14.3,0.00,0.69,0.10,1.39,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,44.6,42.7,1.86,1.71,0.00,4.79,3.07,0.07,0.00,0.00,0.00,0.00,30.3,3.64,10.6,13.6,27.6,2.14,0.14,0.00,36.1,0.00,1.07,0.36,0.21,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,50.7,46.5,4.19,1.25,0.07,5.51,1.69,0.59,0.00,0.00,0.00,0.00,31.8,6.84,12.0,5.00,36.8,3.97,2.94,0.07,41.5,0.22,0.51,0.37,0.74,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,18.8,17.9,0.86,0.17,0.00,6.64,0.09,0.34,0.00,0.00,0.00,0.00,11.7,4.66,2.41,1.47,12.7,1.55,0.00,1.03,12.8,0.00,0.34,0.26,1.12,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,30,1990,0.7,31.4,31.4,0.00,0.00,0.00,12.9,0.00,0.00,0.00,0.00,0.00,0.00,27.1,2.86,1.43,1.43,28.6,0.00,0.00,0.00,25.7,0.00,0.00,1.43,0.00,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,45.9,45.1,0.82,0.61,0.00,7.14,1.43,1.43,0.20,0.00,0.00,0.00,36.1,3.47,6.33,40.4,4.08,1.22,0.00,0.20,38.6,0.41,1.22,1.02,0.61,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,65.0,61.6,3.45,1.73,0.03,5.85,2.33,0.83,0.00,0.00,0.00,0.00,46.9,6.65,11.5,49.1,10.8,2.97,0.77,0.13,57.6,0.13,0.86,0.48,0.48,Matches
