,Player,Nation,Pos,Squad,Comp,Age,Born,PrgDist,Cmp.2,Att.2,Att.3,Att,TotDist,Ground,Cmp,KP,Live,GCA90,Prog,Crs,xA,PPA,Cluster_new
421,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,FW,Milan,it Serie A,26.0,1994.0,0.7267387944358579,0.5681614349775785,0.5669260700389105,0.7137724550898203,0.5925414364640884,0.5692116182572615,0.5743362831858407,0.5606060606060606,0.9452054794520549,0.5256975036710719,0.5508474576271187,0.5726405090137858,0.4237623762376238,0.5882352941176471,0.4509803921568627,4
687,Ángel Di María\Angel-Di-Maria,ar ARG,FW,Paris S-G,fr Ligue 1,32.0,1988.0,0.7805255023183926,0.5771300448430493,0.6525291828793774,0.6898203592814371,0.6256906077348066,0.5437344398340249,0.5690265486725663,0.5494417862838916,0.8904109589041096,0.5873715124816447,0.7796610169491526,0.6330858960763521,0.9900990099009901,1.0,0.7821350762527233,4
1041,Jack Grealish\Jack-Grealish,eng ENG,FW,Aston Villa,eng Premier League,24.0,1995.0,0.5922720247295209,0.46950672645739905,0.4463035019455253,0.3485029940119761,0.4350828729281767,0.38514522821576763,0.468141592920354,0.42822966507177035,0.936986301369863,0.4096916299559472,0.728813559322034,0.6914103923647933,0.4811881188118812,0.6862745098039215,0.644880174291939,4
1162,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,eng Premier League,19.0,2000.0,0.5115919629057187,0.5502242152466368,0.5319066147859923,0.4383233532934132,0.580110497237569,0.519253112033195,0.6345132743362832,0.5925039872408293,0.7205479452054795,0.5991189427312775,0.576271186440678,0.45281018027571585,0.7722772277227723,0.5098039215686274,0.701525054466231,4
1188,Josip Iličić\Josip-Ilicic,si SVN,FW,Atalanta,it Serie A,32.0,1988.0,0.8064914992272025,0.5681614349775785,0.6252918287937743,0.6778443113772455,0.6298342541436462,0.5748547717842324,0.6097345132743364,0.5653907496012759,1.0,0.6240822320117475,1.0,0.8324496288441147,0.7346534653465346,0.9019607843137255,1.0,4
1219,Adnan Januzaj\Adnan-Januzaj,be BEL,FW,Real Sociedad,es La Liga,25.0,1995.0,0.7298299845440496,0.4470852017937219,0.46186770428015567,0.6778443113772455,0.5096685082872928,0.44398340248962653,0.5035398230088496,0.43779904306220097,0.5808219178082192,0.4684287812041117,0.7542372881355933,0.5874867444326617,0.7366336633663367,0.7647058823529412,0.7320261437908496,4
1576,Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FW,Atalanta,it Serie A,27.0,1993.0,0.738176197836167,0.7206278026905829,0.7342412451361868,0.6479041916167665,0.5718232044198895,0.5651452282157676,0.5654867256637168,0.5175438596491229,0.989041095890411,0.5521292217327459,0.652542372881356,0.743372216330859,0.29504950495049503,0.9215686274509803,0.5860566448801743,4
1724,Lionel Messi\Lionel-Messi,ar ARG,FW,Barcelona,es La Liga,33.0,1987.0,0.9094281298299846,0.7520179372197309,0.722568093385214,0.525748502994012,0.8038674033149171,0.6757676348547718,0.8805309734513275,0.8046251993620415,0.6273972602739726,0.7738619676945669,0.9576271186440678,0.9586426299045598,0.38811881188118813,0.6274509803921569,0.9411764705882354,4
1884,Neymar\Neymar,br BRA,FW,Paris S-G,fr Ligue 1,28.0,1992.0,0.8426584234930449,0.6443946188340808,0.6719844357976654,0.5550898203592814,0.6878453038674032,0.5746058091286308,0.7070796460176991,0.6483253588516746,0.9424657534246575,0.6607929515418502,0.864406779661017,0.8568398727465536,0.3663366336633664,0.9019607843137255,0.803921568627451,4
2334,Jadon Sancho\Jadon-Sancho,eng ENG,FW,Dortmund,de Bundesliga,20.0,2000.0,0.6661514683153014,0.6757847533632287,0.6680933852140079,0.4077844311377246,0.6988950276243094,0.5338589211618257,0.763716814159292,0.6690590111642744,0.8027397260273973,0.6769456681350954,0.8135593220338984,0.6436903499469778,0.4495049504950495,0.5882352941176471,0.7799564270152506,4
2813,Hakim Ziyech\Hakim-Ziyech,ma MAR,FW,Chelsea,eng Premier League,27.0,1993.0,0.5548686244204019,0.5860986547085202,0.5747081712062256,0.6179640718562874,0.5897790055248618,0.4833195020746889,0.6168141592920354,0.5334928229665072,0.7178082191780822,0.5961820851688693,0.45762711864406785,0.5291622481442206,0.6396039603960396,0.5490196078431373,0.5359477124183006,4
