,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,TB,Press,Sw,Crs,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA90,PL,Drib,sSh,Fld,Def,GCA90,PL.1,PD.1,Drib.1,gSh,Fld.1,Def.1,Cluster
141,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,32.0,1987.0,0.5891891891891892,0.29333333333333333,0.1823008849557522,0.24901185770750986,0.6024930747922438,0.18197879858657243,0.24901185770750986,0.6363636363636364,0.41,0.24354243542435422,0.3103448275862069,0.26666666666666666,0.6538461538461539,0.857142857142857,0.7857142857142857,0.3437001594896332,0.3535911602209944,0.23299888517279818,0.28240663900414936,0.2973724884080371,0.34940828402366864,0.36994680851063827,0.18961864406779652,0.3358744394618834,0.3334630350194553,0.28617363344051444,0.21065573770491808,0.20479041916167665,0.48261758691206547,0.5394736842105263,0.5098039215686274,0.9714285714285714,0.5178082191780822,0.21919584954604412,0.35729847494553374,0.1391304347826087,0.3457051961823966,0.3773861967694567,0.288659793814433,0.41751824817518257,0.16308243727598568,0.24356435643564356,0.42212389380530974,0.31034482758620685,0.13516483516483516,0.42845911949685533,0.11815384615384616,0.345372460496614,0.04069767441860465,0.0842911877394636,0.3932584269662921,0.2748538011695907,0.5050167224080268,0.38544474393531,0.33615477629987905,0.46078431372549017,0.3220338983050848,0.2261904761904762,0.10112359550561797,0.0,0.6949152542372882,0.5882352941176471,0.07142857142857142,0.48148148148148145,0.1,0.125,0.0,2
205,Harvey Barnes\Harvey-Barnes,eng ENG,FW,Leicester City,eng Premier League,22.0,1997.0,0.31351351351351353,0.27999999999999997,0.39469026548672564,0.43478260869565216,0.523545706371191,0.392226148409894,0.43478260869565216,0.48484848484848486,0.36,0.2878228782287822,0.2241379310344828,0.2888888888888889,0.3076923076923077,1.0,1.0,0.20653907496012758,0.20994475138121543,0.20847268673355623,0.16049792531120335,0.2166924265842349,0.2281065088757397,0.2396276595744681,0.17372881355932193,0.23049327354260088,0.22334630350194554,0.27759914255091106,0.09918032786885246,0.1125748502994012,0.38548057259713703,0.25,0.13725490196078433,0.8857142857142858,0.31780821917808216,0.19974059662775617,0.19172113289760348,0.0782608695652174,0.26299045599151644,0.24229074889867844,0.1443298969072165,0.2861313868613139,0.05734767025089606,0.16435643564356436,0.2504424778761062,0.2120689655172414,0.15714285714285717,0.030660377358490566,0.348,0.3160270880361174,0.010465116279069767,0.08812260536398468,0.05617977528089888,0.2631578947368421,0.2006688963210702,0.2857142857142857,0.28053204353083433,0.30000000000000004,0.3135593220338983,0.380952380952381,0.4157303370786517,0.14705882352941177,0.3135593220338983,0.22549019607843138,0.0,0.3333333333333333,0.0,0.20833333333333334,0.0,2
232,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,26.0,1994.0,0.38918918918918916,0.24666666666666667,0.2778761061946902,0.2845849802371542,0.46537396121883645,0.27561837455830385,0.2845849802371542,0.6060606060606061,0.47,0.11808118081180816,0.29310344827586204,0.3777777777777777,0.6538461538461539,0.7678571428571428,0.7678571428571428,0.17464114832535882,0.16712707182320438,0.21962095875139348,0.11419087136929462,0.1508500772797527,0.21035502958579883,0.21303191489361706,0.19279661016949154,0.1618834080717489,0.15836575875486383,0.24758842443729906,0.06147540983606558,0.08143712574850301,0.3149284253578732,0.381578947368421,0.39215686274509803,0.7714285714285716,0.41643835616438357,0.11673151750972763,0.28540305010893247,0.49565217391304345,0.16755037115588547,0.18355359765051396,0.041237113402061855,0.3262773722627737,0.1093189964157706,0.34851485148514855,0.19380530973451326,0.2767241379310345,0.12802197802197804,0.025471698113207545,0.29723076923076924,0.24153498871331833,0.04302325581395349,0.07662835249042146,0.0898876404494382,0.08187134502923978,0.2842809364548495,0.16442048517520214,0.2503022974607013,0.3509803921568627,0.2796610169491526,0.14285714285714285,0.1348314606741573,0.11764705882352941,0.4830508474576271,0.3235294117647059,0.0,0.4444444444444444,0.26666666666666666,0.16666666666666669,0.0,2
249,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,it Serie A,26.0,1993.0,0.5972972972972973,0.26666666666666666,0.5061946902654868,0.3952569169960475,0.3545706371191135,0.5053003533568905,0.3952569169960475,0.2727272727272727,0.26,0.2878228782287822,0.3448275862068966,0.3111111111111111,0.2692307692307693,0.732142857142857,0.7142857142857143,0.10925039872408292,0.12292817679558009,0.14381270903010032,0.09402489626556018,0.10973724884080371,0.11479289940828406,0.11728723404255317,0.16313559322033888,0.13228699551569506,0.15136186770428017,0.17148981779206868,0.09918032786885246,0.11676646706586828,0.3660531697341513,0.25,0.4117647058823529,0.4571428571428572,0.2904109589041096,0.11543450064850844,0.27233115468409586,0.16521739130434784,0.14740190880169673,0.12922173274596185,0.3195876288659794,0.2941605839416059,0.15053763440860216,0.13663366336633662,0.131858407079646,0.2793103448275862,0.13516483516483516,0.057547169811320756,0.21107692307692308,0.25733634311512416,0.010465116279069767,0.1417624521072797,0.1348314606741573,0.16374269005847955,0.22073578595317725,0.2964959568733153,0.3180169286577993,0.21764705882352944,0.33898305084745767,0.4047619047619048,0.9775280898876404,0.5588235294117647,0.4491525423728814,0.18627450980392157,0.0,0.1111111111111111,0.3,0.7916666666666667,0.2,2
254,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Monaco,fr Ligue 1,29.0,1990.0,0.5135135135135135,0.45999999999999996,0.3575221238938053,0.2766798418972332,0.3421052631578947,0.35865724381625447,0.2766798418972332,0.45454545454545453,0.45,0.2878228782287822,0.5431034482758621,0.3555555555555555,0.4615384615384615,0.8214285714285713,0.7678571428571428,0.21451355661881977,0.2251381215469613,0.19620958751393536,0.16564315352697098,0.14188562596599694,0.21627218934911246,0.2396276595744681,0.1483050847457627,0.2538116591928251,0.2463035019455253,0.2840300107181137,0.09836065573770492,0.12634730538922156,0.3241308793456033,0.3157894736842105,0.43137254901960786,0.6,0.3506849315068493,0.1932555123216602,0.2701525054466231,0.060869565217391314,0.24072110286320256,0.2261380323054332,0.3505154639175258,0.3532846715328467,0.07347670250896057,0.1504950495049505,0.2504424778761062,0.2655172413793104,0.1879120879120879,0.21147798742138363,0.1803076923076923,0.309255079006772,0.01976744186046512,0.1839080459770115,0.15730337078651688,0.16374269005847955,0.294314381270903,0.2452830188679245,0.2466747279322854,0.30588235294117644,0.23728813559322037,0.33333333333333337,0.23595505617977527,0.08823529411764705,0.44067796610169496,0.37254901960784315,0.0,0.0,0.33333333333333337,0.125,0.0,2
275,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,32.0,1987.0,0.6000000000000001,0.47333333333333333,0.6141592920353982,0.5889328063241107,0.4612188365650969,0.6130742049469965,0.5889328063241107,0.5454545454545454,0.44,0.22140221402214022,0.4482758620689656,0.5555555555555556,0.42307692307692313,1.0535714285714284,1.0535714285714284,0.3771929824561403,0.34530386740331487,0.30657748049052386,0.2749377593360996,0.2071097372488408,0.45000000000000007,0.42579787234042554,0.26800847457627114,0.31793721973094174,0.28677042801556424,0.3397642015005359,0.15737704918032788,0.15928143712574852,0.4529652351738241,0.368421052631579,0.39215686274509803,0.7714285714285716,0.3150684931506849,0.20363164721141375,0.25054466230936817,0.026086956521739132,0.2290562036055143,0.3627019089574156,0.2577319587628866,0.3102189781021898,0.1111111111111111,0.1603960396039604,0.4345132743362832,0.27327586206896554,0.08681318681318681,0.09779874213836477,0.44799999999999995,0.1309255079006772,0.0034883720930232558,0.19157088122605365,0.1797752808988764,0.38011695906432746,0.354515050167224,0.25336927223719674,0.27569528415961303,0.3686274509803922,0.2627118644067797,0.36904761904761907,0.06741573033707865,0.08823529411764705,0.47457627118644075,0.46078431372549017,0.0,0.2222222222222222,0.1,0.0,0.0,2
559,Ángel Correa\Angel-Correa,ar ARG,FW,Atlético Madrid,es La Liga,25.0,1995.0,0.4486486486486487,0.22666666666666668,0.29557522123893804,0.316205533596838,0.4944598337950138,0.2950530035335689,0.32015810276679846,0.5151515151515151,0.39,0.2915129151291513,0.2241379310344828,0.2777777777777778,0.42307692307692313,0.857142857142857,0.8749999999999999,0.28309409888357256,0.281767955801105,0.23968784838350046,0.1979253112033195,0.21112828438948994,0.33461538461538465,0.3327127659574468,0.22139830508474567,0.24484304932735426,0.23657587548638134,0.2829581993569132,0.10655737704918034,0.1694610778443114,0.22392638036809814,0.39473684210526316,0.4117647058823529,0.8000000000000002,0.3506849315068493,0.20233463035019456,0.28758169934640526,0.09565217391304348,0.23329798515376457,0.30396475770925113,0.1134020618556701,0.2605839416058395,0.0949820788530466,0.297029702970297,0.32831858407079645,0.27413793103448275,0.16648351648351645,0.10125786163522013,0.37415384615384617,0.22799097065462756,0.0,0.11494252873563218,0.3820224719101124,0.18713450292397663,0.3210702341137124,0.22641509433962262,0.26360338573155984,0.3137254901960784,0.38135593220338987,0.2261904761904762,0.12359550561797752,0.23529411764705882,0.5084745762711864,0.40196078431372545,0.0,0.5555555555555555,0.0,0.16666666666666669,0.0,2
560,Joaquín Correa\Joaquin-Correa,ar ARG,FW,Lazio,it Serie A,25.0,1994.0,0.3108108108108108,0.24666666666666667,0.38761061946902653,0.37944664031620556,0.4570637119113573,0.3869257950530035,0.37944664031620556,0.3939393939393939,0.32,0.15867158671586717,0.3103448275862069,0.36666666666666664,0.42307692307692313,0.7499999999999999,0.6964285714285714,0.3022328548644338,0.27486187845303867,0.29096989966555187,0.2553526970954357,0.20525502318392577,0.2931952662721894,0.2715425531914894,0.2584745762711863,0.3174887892376682,0.2906614785992218,0.3311897106109325,0.20983606557377052,0.20538922155688624,0.47852760736196315,0.1842105263157895,0.1764705882352941,0.6857142857142857,0.35616438356164387,0.21271076523994814,0.20261437908496735,0.0,0.2205726405090138,0.28487518355359764,0.0,0.36642335766423356,0.15770609318996415,0.08316831683168317,0.34424778761061947,0.2612068965517242,0.0967032967032967,0.03522012578616352,0.4310769230769231,0.09706546275395034,0.03837209302325582,0.22988505747126436,0.4157303370786517,0.0760233918128655,0.26421404682274247,0.14824797843665768,0.3833131801692866,0.39215686274509803,0.4322033898305085,0.33333333333333337,0.5730337078651685,0.14705882352941177,0.6271186440677966,0.27450980392156865,0.11904761904761905,0.8518518518518519,0.16666666666666669,0.375,0.33333333333333337,2
657,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,28.0,1991.0,0.4756756756756757,0.36000000000000004,0.527433628318584,0.4624505928853755,0.41135734072022156,0.5265017667844523,0.4624505928853755,0.48484848484848486,0.44,0.25461254612546125,0.3103448275862069,0.3777777777777777,0.3076923076923077,1.0357142857142856,1.0892857142857142,0.182615629984051,0.25690607734806625,0.06800445930880715,0.16970954356846474,0.2522411128284389,0.1718934911242604,0.20771276595744678,0.10911016949152538,0.1905829596412556,0.27509727626459146,0.07609860664523045,0.19016393442622953,0.28802395209580844,0.23517382413087934,0.4342105263157895,0.4117647058823529,0.8571428571428572,0.5561643835616438,0.17120622568093385,0.33986928104575165,0.8173913043478261,0.22799575821845175,0.2555066079295154,0.1443298969072165,0.4671532846715329,0.1881720430107527,0.6594059405940594,0.1,0.6181034482758622,0.5532967032967033,0.005031446540880502,0.3141538461538461,0.7516930022573364,0.029069767441860465,1.0,0.0449438202247191,0.38596491228070173,0.29765886287625415,0.4097035040431267,0.347037484885127,0.4117647058823529,0.2796610169491526,0.3928571428571429,0.32584269662921345,0.0,0.45762711864406785,0.4215686274509804,0.0,0.14814814814814814,0.13333333333333333,0.16666666666666669,0.0,2
710,Brahim Díaz\Brahim-Diaz,es ESP,FW,Milan,it Serie A,20.0,1999.0,0.09729729729729729,0.19333333333333333,0.2814159292035398,0.2371541501976285,0.37257617728531855,0.2809187279151943,0.2371541501976285,0.45454545454545453,0.44,0.2656826568265683,0.1810344827586207,0.2333333333333333,0.38461538461538464,0.857142857142857,0.857142857142857,0.3548644338118022,0.3024861878453039,0.3422519509476031,0.26157676348547715,0.24142194744976814,0.4026627218934911,0.3646276595744681,0.2913135593220339,0.32645739910313903,0.2828793774319066,0.3740621650589496,0.13688524590163934,0.1473053892215569,0.41411042944785276,0.2894736842105263,0.23529411764705882,0.8285714285714287,0.3835616438356164,0.26459143968871596,0.16122004357298475,0.19130434782608696,0.17709437963944857,0.31571218795888395,0.15463917525773196,0.24890510948905112,0.13261648745519714,0.11683168316831682,0.404424778761062,0.12500000000000003,0.10494505494505495,0.21147798742138363,0.2941538461538461,0.10609480812641085,0.02558139534883721,0.0842911877394636,0.07865168539325844,0.09356725146198831,0.19063545150501673,0.1105121293800539,0.31559854897218864,0.27450980392156865,0.3135593220338983,0.2619047619047619,0.7415730337078652,0.0,0.6864406779661018,0.43137254901960786,0.16666666666666669,0.8148148148148148,0.0,0.2916666666666667,0.0,2
